,cat_item,request,sys_updated_on,outcome,elapsed_days,days_to_end
96,aa347d1d87bf709094f140490cbb35a2,39dffa3847ad0950064af271e36d4369,2022-02-09 08:57:59,Closed Complete,,
97,b019b9a2dba71454b890bd5c68961990,39dffa3847ad0950064af271e36d4369,2022-02-09 14:20:40,Closed Complete,,
98,9e7005e2db8f50107ea8264cd39619b5,39dffa3847ad0950064af271e36d4369,2022-02-09 14:24:06,Closed Complete,,
99,9e7005e2db8f50107ea8264cd39619b5,39dffa3847ad0950064af271e36d4369,2022-02-09 14:24:06,Closed Complete,,
100,7ba4ec3e1be7749456f2ece5604bcb07,39dffa3847ad0950064af271e36d4369,2022-02-09 14:33:07,Closed Complete,,
101,da0a989e873b30d094f140490cbb3593,39dffa3847ad0950064af271e36d4369,2022-02-10 16:09:03,Closed Complete,,
102,00e9e12587604d9494f140490cbb357f,39dffa3847ad0950064af271e36d4369,2022-02-10 20:18:32,Closed Complete,,
103,40abdc16877b30d094f140490cbb351d,39dffa3847ad0950064af271e36d4369,2022-02-11 07:20:59,Closed Complete,,
104,40abdc16877b30d094f140490cbb351d,39dffa3847ad0950064af271e36d4369,2022-02-11 07:20:59,Closed Complete,,
105,00e9e12587604d9494f140490cbb357f,39dffa3847ad0950064af271e36d4369,2022-02-16 07:12:53,Closed Complete,,
106,00e9e12587604d9494f140490cbb357f,39dffa3847ad0950064af271e36d4369,2022-02-16 07:12:53,Closed Complete,,
107,00e9e12587604d9494f140490cbb357f,39dffa3847ad0950064af271e36d4369,2022-02-16 07:12:53,Closed Complete,,
108,3385105e87f730d094f140490cbb35cd,39dffa3847ad0950064af271e36d4369,2022-02-17 17:07:05,Closed Complete,,
109,3385105e87f730d094f140490cbb35cd,39dffa3847ad0950064af271e36d4369,2022-02-17 17:07:05,Closed Complete,,
110,8e4d445287b730d094f140490cbb35b4,39dffa3847ad0950064af271e36d4369,2022-02-18 06:00:27,Closed Complete,,
111,8e4d445287b730d094f140490cbb35b4,39dffa3847ad0950064af271e36d4369,2022-02-18 06:00:27,Closed Complete,,
112,16ef04da87b730d094f140490cbb350d,39dffa3847ad0950064af271e36d4369,2022-02-19 06:00:18,Closed Complete,,
